quarter,port_stress_index,event,proxy_stress_index,port_stress_lag1q,port_stress_lag2q
2019-01-01,0.14610873734255148,,0.14351456223758577,,
2019-04-01,0.13256395740122887,,0.1409399290020481,0.14610873734255148,
2019-07-01,0.20921598953759624,,0.22869331589599373,0.13256395740122887,0.14610873734255148
2019-10-01,0.217271903854113,,0.22878650642352164,0.20921598953759624,0.13256395740122887
2020-01-01,0.24146046190343415,,0.10243410317239021,0.217271903854113,0.20921598953759624
2020-04-01,0.31096665432156567,COVID port shutdowns,0.038277757202609446,0.24146046190343415,0.217271903854113
2020-07-01,0.21117556830437073,,0.09862594717395118,0.31096665432156567,0.24146046190343415
2020-10-01,0.2922045501420293,,0.14034091690338216,0.21117556830437073,0.31096665432156567
2021-01-01,0.4059825350211932,,0.22330422503532202,0.2922045501420293,0.21117556830437073
2021-04-01,0.5293868788338272,,0.3623114647230452,0.4059825350211932,0.2922045501420293
2021-07-01,0.6367929122847961,LA/LB backlog peak + Suez Canal blockage,0.4546548538079934,0.5293868788338272,0.4059825350211932
2021-10-01,0.65600175831381,Global container shortage peak,0.5066695971896833,0.6367929122847961,0.5293868788338272
2022-01-01,0.6792032390030117,Shanghai lockdowns,0.5853387316716862,0.65600175831381,0.6367929122847961
2022-04-01,0.6242163526741225,,0.5403605877902041,0.6792032390030117,0.65600175831381
2022-07-01,0.39418138579172723,Normalisation begins,0.35696897631954533,0.6242163526741225,0.6792032390030117
2022-10-01,0.26259828508588745,,0.22433047514314572,0.39418138579172723,0.6242163526741225
2023-01-01,0.22365675751033826,,0.22609459585056377,0.26259828508588745,0.39418138579172723
2023-04-01,0.19949488772752413,Supply chains fully normalised,0.23249147954587357,0.22365675751033826,0.26259828508588745
2023-07-01,0.18341196614510363,,0.22568661024183936,0.19949488772752413,0.22365675751033826
2023-10-01,0.2065428749588752,,0.2242381249314587,0.18341196614510363,0.19949488772752413
2024-01-01,0.3213069097874154,Red Sea disruption (Houthi attacks),0.34884484964569235,0.2065428749588752,0.18341196614510363
2024-04-01,0.3350369665790337,,0.3917282776317228,0.3213069097874154,0.2065428749588752
2024-07-01,0.3553592727453299,,0.44559878790888313,0.3350369665790337,0.3213069097874154
2024-10-01,0.3739984934201606,,0.489997489033601,0.3553592727453299,0.3350369665790337
